,Unnamed: 0,act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
41,86,28.0,Binghamton,13902,54.0,29356.0,NY,87,3.7,2.7,24403,2.3,Binghamton University--SUNY,public,Binghamton University,1,2,0.4036,13702.0,0.5744,0.0521,0.1125,0.1398,0.0007,0.0007,0.0214,0.0823,0.0162,0.0262,24725.0,9523.0,24403.0,8520.0,12671.0,9258.0,0.7066,18378.0,1289.0,1365.0
42,88,26.0,Tulsa,74104,15.0,49957.0,OK,87,3.9,2.5,39502,2.2,University of Tulsa,private,University of Tulsa,1,6,0.3895,3316.0,0.5676,0.0531,0.0642,0.0522,0.0259,0.0012,0.0271,0.1924,0.0163,0.0362,56173.0,41509.0,41509.0,20400.0,15648.0,10669.0,0.773,23948.0,327.0,1335.0
44,90,24.0,Milwaukee,53201,55.0,32894.0,WI,90,3.5465020576131687,2.9,39900,2.4,Marquette University,private,Marquette University,1,3,0.8933,8093.0,0.6988,0.0389,0.1233,0.0678,0.0014,0.0005,0.0363,0.0303,0.0027,0.0163,52916.0,39900.0,39900.0,22584.0,11036.0,9923.0,0.5689,29120.0,1086.0,1262.0
47,93,25.0,Philadelphia,19104,54.0,42176.0,PA,94,3.7,2.8,52002,3.0,Drexel University,private,Drexel University,1,2,0.7904,15335.0,0.5221,0.0732,0.0639,0.1617,0.0012,0.0038,0.0361,0.1152,0.0227,0.1162,69462.0,52002.0,52002.0,27523.0,16047.0,11028.0,0.5519,37427.0,1577.0,1269.0
48,95,23.0,New York,10033,46.0,34756.0,NY,94,3.5,2.3,42000,2.806829268292683,Yeshiva University,private,Yeshiva University,1,2,0.6282,2703.0,0.9393,0.0,0.0022,0.0,0.0004,0.0,0.0007,0.0522,0.0052,0.0211,58845.0,42000.0,42000.0,17638.0,17238.0,12238.0,0.4971,36306.0,208.0,1272.0
51,98,23.0,Syracuse,13210,35.27972027972028,33920.86713286713,NY,97,3.7,2.8343347639484984,18090,2.0,SUNY College of Environmental Science and Forestry,public,SUNY College of Environmental Science and Forestry,1,2,0.5215,1790.0,0.7955,0.0156,0.0609,0.0391,0.0022,0.0006,0.0235,0.019,0.0436,0.0296,25297.0,8543.0,18193.0,5136.0,18959.0,8190.0,0.716,17923.0,164.0,1235.0
52,99,24.0,Buffalo,14214,28.0,37040.0,NY,97,3.6,3.0,26270,2.8,University at Buffalo--SUNY,public,University at Buffalo,1,2,0.5734,20735.0,0.4757,0.0753,0.0735,0.1451,0.003,0.001,0.0239,0.158,0.0445,0.0684,24198.0,9828.0,27068.0,10081.0,17902.0,10140.0,0.6375,17469.0,2432.0,1197.0
53,100,23.0,Norman,73019,13.0,35144.0,OK,97,3.6,3.1,24443,2.6,University of Oklahoma,public,University of Oklahoma-Norman Campus,4,6,0.74,21536.0,0.6088,0.0469,0.096,0.0633,0.0389,0.001,0.0837,0.0423,0.019,0.1246,27205.0,11538.0,26919.0,12648.0,12733.0,9475.0,0.8386,19254.0,1202.0,1254.0
54,102,24.0,Auburn,36849,16.0,39912.0,AL,103,3.9,3.1,29640,3.0,Auburn University,public,Auburn University,1,5,0.8393,23391.0,0.818,0.0625,0.0338,0.024,0.0044,0.0004,0.0182,0.0346,0.0041,0.0838,30458.0,10968.0,29640.0,15479.0,12067.0,10137.0,0.855,23416.0,1057.0,1282.0
56,105,22.0,Durham,3824,56.0,34826.0,NH,103,3.5,2.6,32637,2.3,University of New Hampshire,public,University of New Hampshire-Main Campus,3,1,0.7651,12847.0,0.8267,0.0114,0.0346,0.0254,0.0016,0.0002,0.0186,0.0374,0.0441,0.0169,31835.0,18067.0,32637.0,13700.0,11696.0,11673.0,0.6559,24529.0,852.0,1177.0
58,107,25.0,Columbia,29208,8.0,41810.0,SC,103,3.5465020576131687,3.2,32362,2.4,University of South Carolina,public,University of South Carolina-Columbia,2,5,0.7231,25550.0,0.7634,0.0892,0.0466,0.0296,0.0017,0.0011,0.0369,0.0212,0.0104,0.038,26079.0,11862.0,31962.0,13184.0,12407.0,10697.0,0.728,19519.0,2277.0,1282.0
