act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
23.0,Washington,20064,54.0,35518.0,DC,120,3.4,,44060,2.0,The Catholic University of America,private,The Catholic University of America,1,2,0.8258,3284.0,0.6526,0.0457,0.1331,0.0368,0.0015,0.0,0.0493,0.0554,0.0256,0.0292,59591.0,44060.0,44060.0,23131.0,19118.0,9645.0,0.5298,32731.0,460.0,1040.0
22.0,Chicago,60604,59.0,42438.0,IL,120,3.6,3.0,39010,,DePaul University,private,DePaul University,1,3,0.7174,14591.0,0.527,0.0811,0.1929,0.0947,0.0012,0.0015,0.0371,0.0333,0.0311,0.1186,52969.0,39010.0,39010.0,23156.0,12582.0,10699.0,0.4938,30559.0,1588.0,1030.0
24.0,Pittsburgh,15282,65.0,29185.0,PA,120,3.7,2.6,36394,,Duquesne University,private,Duquesne University,1,2,0.717,5930.0,0.8034,0.0533,0.0351,0.0314,0.0007,0.0012,0.0288,0.0352,0.011,0.0179,50073.0,36394.0,36394.0,22070.0,11810.0,9159.0,0.5188,28961.0,1175.0,1221.0
23.0,Columbia,65211,33.0,27962.0,MO,120,,3.0,26506,2.5,University of Missouri,public,University of Missouri-Columbia,1,4,0.7809,23455.0,0.7843,0.075,0.0395,0.0254,0.0021,0.0004,0.0326,0.0341,0.0066,0.0564,25656.0,9787.0,26506.0,11279.0,12083.0,9334.0,0.7179,18602.0,1583.0,1249.0
24.0,Potsdam,13699,79.0,33669.0,NY,124,3.6,2.5,47950,2.6,Clarkson University,private,Clarkson University,1,2,0.6571,2991.0,0.8121,0.0231,0.0485,0.0351,0.0023,0.0,0.0318,0.0254,0.0217,0.004,63747.0,47950.0,47950.0,17637.0,14483.0,10756.0,0.7285,30563.0,599.0,1247.0
22.0,Fort Collins,80523,16.0,39497.0,CO,124,3.6,2.9,29140,2.8,Colorado State University,public,Colorado State University-Fort Collins,1,7,0.8262,23804.0,0.7215,0.0234,0.1329,0.0258,0.005,0.0018,0.0379,0.0372,0.0145,0.1009,25932.0,11395.0,28903.0,14759.0,11951.0,9688.0,0.6665,18700.0,1840.0,1212.0
25.0,Houghton,49931,28.0,38217.0,MI,124,3.7,2.1,32318,2.8,Michigan Technological University,public,Michigan Technological University,1,3,0.7449,5829.0,0.8803,0.0093,0.0202,0.0148,0.0029,0.0007,0.0278,0.0242,0.0199,0.058,27537.0,15074.0,32318.0,14382.0,11585.0,10187.0,0.9053,15481.0,667.0,1277.0
23.0,South Orange,7079,,,NJ,124,3.6,2.8,40588,,Seton Hall University,private,Seton Hall University,1,2,0.7316,5717.0,0.4903,0.0857,0.1789,0.1048,0.0012,0.0014,0.0404,0.0362,0.061,0.0297,53433.0,40588.0,40588.0,23079.0,10812.0,9493.0,0.9558,27563.0,815.0,1222.0
21.0,Tucson,85721,29.0,35051.0,AZ,124,3.5,3.7,32449,3.1,University of Arizona,public,University of Arizona,2,6,0.8358,33428.0,0.5034,0.0401,0.2671,0.054,0.0128,0.0028,0.0459,0.067,0.0069,0.125,26157.0,11877.0,35307.0,15765.0,12211.0,10929.0,0.7484,14821.0,1958.0,970.0
21.0,Riverside,92521,15.0,41753.0,CA,124,3.7,3.0,41931,2.6,University of California--Riverside,public,University of California-Riverside,1,8,0.565,20044.0,0.1195,0.0408,0.4045,0.3422,0.0016,0.0041,0.04,0.0367,0.0106,0.0169,32308.0,13917.0,41931.0,12938.0,14536.0,12816.0,0.8654,12344.0,3915.0,1215.0
