,act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
87,26.0,Denver,80208,40.0,31393.0,CO,87,3.7,2.9,48669,2.0,University of Denver,private,University of Denver,1,7,0.5805,5753.0,0.6869,0.0203,0.1093,0.0421,0.0021,0.0007,0.0422,0.0749,0.0214,0.0464,61824.0,48669.0,48669.0,27214.0,15302.0,10704.0,0.5815,32174.0,610.0,1294.0
88,26.0,Tulsa,74104,15.0,49957.0,OK,87,3.9,2.5,39502,2.2,University of Tulsa,private,University of Tulsa,1,6,0.3895,3316.0,0.5676,0.0531,0.0642,0.0522,0.0259,0.0012,0.0271,0.1924,0.0163,0.0362,56173.0,41509.0,41509.0,20400.0,15648.0,10669.0,0.773,23948.0,327.0,1335.0
94,24.0,St. Louis,63103,51.0,28328.0,MO,94,3.9,2.9,42166,2.2,Saint Louis University,private,Saint Louis University,1,4,0.6443,7209.0,0.6937,0.0565,0.0569,0.1033,0.0019,0.0004,0.0284,0.0506,0.0082,0.0839,55055.0,42166.0,42166.0,20686.0,19514.0,10093.0,0.6411,27341.0,888.0,1319.0
101,25.0,Burlington,5405,48.0,36399.0,VT,97,3.6,2.6,41356,2.3,University of Vermont,public,University of Vermont,1,1,0.672,10513.0,0.8087,0.0127,0.039,0.0283,0.0008,0.0002,0.0302,0.0555,0.0246,0.03,31606.0,17740.0,41356.0,24788.0,16555.0,9791.0,0.7961,18877.0,369.0,1280.0
103,26.0,Chicago,60616,62.0,29116.0,IL,103,4.0,2.3,45864,2.8,Illinois Institute of Technology,private,Illinois Institute of Technology,1,3,0.5403,2763.0,0.3435,0.0608,0.165,0.1444,0.0011,0.0004,0.0304,0.2179,0.0366,0.0492,60489.0,45864.0,45864.0,21204.0,11376.0,12391.0,0.5585,22098.0,294.0,1323.0
107,25.0,Columbia,29208,8.0,41810.0,SC,103,3.5465020576131687,3.2,32362,2.4,University of South Carolina,public,University of South Carolina-Columbia,2,5,0.7231,25550.0,0.7634,0.0892,0.0466,0.0296,0.0017,0.0011,0.0369,0.0212,0.0104,0.038,26079.0,11862.0,31962.0,13184.0,12407.0,10697.0,0.728,19519.0,2277.0,1282.0
112,23.0,Stockton,95211,67.0,37188.0,CA,110,3.5,2.2,46346,2.9,University of the Pacific,private,University of the Pacific,1,8,0.6487,3542.0,0.2329,0.0333,0.1976,0.3619,0.004,0.0045,0.072,0.0601,0.0336,0.0268,58718.0,46346.0,46346.0,33201.0,21147.0,10575.0,0.5385,29171.0,449.0,1220.0
124,22.0,Fort Collins,80523,16.0,39497.0,CO,124,3.6,2.9,29140,2.8,Colorado State University,public,Colorado State University-Fort Collins,1,7,0.8262,23804.0,0.7215,0.0234,0.1329,0.0258,0.005,0.0018,0.0379,0.0372,0.0145,0.1009,25932.0,11395.0,28903.0,14759.0,11951.0,9688.0,0.6665,18700.0,1840.0,1212.0
128,21.0,Riverside,92521,15.0,41753.0,CA,124,3.7,3.0,41931,2.6,University of California--Riverside,public,University of California-Riverside,1,8,0.565,20044.0,0.1195,0.0408,0.4045,0.3422,0.0016,0.0041,0.04,0.0367,0.0106,0.0169,32308.0,13917.0,41931.0,12938.0,14536.0,12816.0,0.8654,12344.0,3915.0,1215.0
132,23.0,Baton Rouge,70803,14.0,40711.0,LA,133,3.4,2.8,28051,2.5,Louisiana State University--Baton Rouge,public,Louisiana State University and Agricultural & Mechanical College,1,5,0.7392,23331.0,0.721,0.1187,0.0637,0.0431,0.0037,0.0013,0.0201,0.0198,0.0086,0.0592,27612.0,11374.0,28051.0,11816.0,11087.0,9922.0,0.9134,18181.0,2735.0,1226.0
